Text,Tag,Confidence
"I wish Hubspot offered the ability to add tags to contacts, and that there was a more intuitive way to split test workflows. ",Actionable:wishes:features:UX:integrations,0.87:0.854:0.848:0.825:0.823
"There are times when the system if very slow and some browsers do not work well with HubSpot, but overall a great tool.",integrations,0.591
sometimes licensing and renewal can be difficult.,No tags, 
The design tool Limit developers in the use of codes,UX,0.854
"There's so much that it can be confusing at times, and difficult to troubleshoot.",UX,0.887
"Sometimes the backend of the templates get a little complicated, but once you get over the learning curve, it's not too bad.",UX,0.865
CMS part of Hubspot can be easier to manipulate and adjust to minimalize the need for a webmaster - a more intuitive drag-and-drop system will be a great starting point.,integrations,0.84
"Posting on Instagram has been difficult, and I've had some trouble figuring out if it's possible to edit photos within HubSpot to be square (as Instagram recommends). ",features:Actionable:wishes,0.875:0.836:0.761
"Waiting for some features that you'd think would be a no-brainer can be frustrating, but there are usually ways to work around a problem.",No tags, 
I wish there was a way for HubSpot and Zoom to integrate so that the contacts were updated with which webinars they have attended/signed-up and not attended/not registered for so that we can set contact attributes but also follow-up with contacts based on those groups.,Actionable:integrations:features:wishes,0.82:0.685:0.585:0.573
"I wish there was a way to posts multiple photos in an instagram post, but other than that I really like hubspot.",wishes:Actionable:features,0.968:0.961:0.918
"You can't edit static contact lists once they are made, this is a bit frustrating!",Actionable:UX:bugs,0.821:0.638:0.604
"We have not encountered any major problems, to date.",UX:bugs:updates,0.681:0.67:0.53
i think it has an excessively high price for the real characteristics it possesses.,price:UX,0.909:0.545
Hubspot troubleshooting can be difficult and I have found the staff to be unresponsive at times.,support,0.541
"I'd like to see more comprehensive recommendations for optimizing our website, including being able to add more information/details to images within the Files section.",Actionable:wishes,0.904:0.585
"Conversations, aesthetically speaking the conversations feature is really bad.",,
"No downsides yet, have been using the product for almost a year.",,
There are some restrictions when pulling reports.,,
I find that the navigation is not very intuitive.,,
Some of the tools are outdated or need to be updated.,updates:UX,
Workflows are cumbersome and difficult to use without adequate learning.,,
Sometimes it randomly logs me out of my account and it doesn't log any attachments on emails that aren't sent through HubSpot directly.,bugs:Actionable:features,0.94:0.81:0.687
"There are some integrations that don't work with SalesForce currently, but we are hoping those integrations will be on HubSpot's roadmap soon. ",integrations,0.94
importing can be difficult to import contacts,features:bugs,0.7:0.573
"There are almost too many features and the layout is not always intuitive, so it takes a lot of training to really get up to speed and a lot of trial and error.",UX:support,0.897:0.504
I really don’t dislike anything about this application that I could make a point on.,UX,0.735
Lots of features only available on the marketing package which is expensive,price,0.791
"In the free version you can see many disadvantages, because it has a limitation of number of users the system gives access to basic functions, so you need a paid subscription, the data stored on the server is your responsibility, in addition to a storage limit, as it is free technical service is deficient.",No tags, 
The frustration of posting across multiple platforms using one image,wishes,0.511
"The platform can be expensive, and the workflows can feel limited as workflows are always based off of ""Yes or No"" propositions.",integrations,0.66
It takes some a while to learn all the features and pricing structures,price,0.64
Needs more customization in areas such as email creation.,,
"Analytics are clunky and not helpful, the dashboards are lacking in function and reporting is lack-luster. ",,
I would like the ability to customize lead scoring a bit more to allow for incremental scoring for certain repeated actions.,,
"The fact that is not really built for multiple brands within one company, at least not the versions below   Enterprise.",,
I have not found anything I dislike about it.,,
It would be good to automate sequences and task management,,
"Currently, you can't share a document on LinkedIn through HubSpot",,
Hubspot reports are a little tough to understand because of their layout.,,
"As with all platforms, learning to customize content and make email and landing pages look amazing requires some specialization. ",,
"There's still some functionality issues, such as an editable lead score that I would love to see added.",,
The deep HTML on pages took a little investigating as did tracking 3rd party campaigns within Hubspot.,,
"However, I don't like the tracking URLS and alt-text replacement for the paid accounts.",,
"As i have little crm knowledge the learning curve is quite steep, there are so many options that I don't know where to start - but this is less a negative aspect of the product, more a user issue.",,
Landing pages are not always designed for mobile.,,
most of it.,,
A few things.,,
I only wish HubSpot offered survey functionality,wishes:UX:Actionable:features,
"As a web developer, I dislike some of the aspects of page development. ",,
"I don't like that the LP builder is so complicated, not user-friendly and requires a developer.",,
The only downside I can think of is that there is sometimes a brief lag in pages or other designs updating on the published end but this has not been a common occurrence.,,
"When you update / adjust single elements or modules on a page, Hubspot will jump up and down on the page after saving, so there is a lot of scrolling involved to get back to the point where you have just been editing.",,
"Nothing really, so far I haven't run into anything I don't like.",,
"I wish that you could do a bit more, like post multiple images to instagram or add video captions to facebook, but i get that that might be difficult and has to do with the social platforms themselves. ",Actionable:wishes:features,
"The tables are not very user-friendly, personally I still prefer to use google sheet or Microsoft excel instead of Hubspot",,
Sometimes the simplicity of the tool can reduce the ability to custom format things and requires work arounds to work the way I want it,,
Adding the functionality to have lists of companies and not just contacts hamper productivity at times.,,
"It's just like an apple product: pretty, intuitive, and incredibly difficult to creatively customize to your needs without shelling out for templates or knowing significant coding.",,
They are still technically behind a number of other providers in terms of RSS api's and technical requests/suggestions seem to get lost in the ether.,,
Some of the features such as website pages could be released for smaller packages but limited maybe in amount of pages you can create.,,
"I would say the biggest dislikes are the price, and the limitations in the email and landing page builders.",,
Hubspot is continually growing and the constant updates can be frustrating.,,
Integrating with our Sales CRM is difficult.,,
Some times when you ask something in support just send you information that doesn't answer your doubt,,
The tracking is sometimes convoluted and inaccurate.,,
Not enough freedom when creating landing pages,,
"The connection with social media is still weak and could be improved, so the Inbound strategy links better with the activity in Linkedin, Twitter, etc.",,
"Can be a little limited as a result of it's simplicity, and is too easy to setup multiple, overlapping campaigns, workflows emails, CTAs etc.",,
Pretty sharp learning curve in the beginning and to become advanced.,,
"As exciting as it's been to see HubSpot roll out quality new tools for sales, customer service and conversations, some features take a while to reach a level of sophistication where they're best in class and fully integrated with the overall stack.",,
The downside I'm experiencing in hubspot is that we cannot segregate the properties that we need for carrier and enterprise products.,,
"One of the only things I dislike, is the fact that whenever I am creating an for Facebook, I have to leave the easy hubspot UI and go into the hard to grasp Facebook Ads Manager UI.",,
limited social media features (less than what is native in the social platform) & glitches in the posting features / emoticons,,
Sometimes the statistics don't match the exact number in the channel's analytics.,,
It's not really a dislike - it's more that the tool is so robust and I only use such a small portion of it.,,
Hubspot can be updated to allow us to organize our leads a little better by giving us more filtered options.,,
There are some limitations on integrations with other tools such as Salesforce,,
"Comparing to other tools in the similar set, there is nothing wrong here with Hubspot.",,
Nothing stands out as an area of opportunity for Hubspot currently,,
But it does this very well already.,,
I spent a few hours integrating the Chat Bot and then it suddenly disappeared.,,
There are few features which lack in the Hubspot.,,
The mobile app could be a bit more user friendly - UX wise,,
"Once you have a decent amount of data in HubSpot, you will find it is very difficult to transfer to another tool.",,
and you are not allowed to send emails to contacts before they explicitly subscribe to your email (which can be a good thing for the audience).,,
I wish it wasn't one huge list but that it was easier to divide up and find certain emails.,UX:wishes,
"Compared to Mailchimp, it is difficult to manage content.",,
That is why I couldn't rate hubspot a full 10.,,
It would be easier to copy the format and swap out the text as needed.,,
"Should Hubspot ever get into a crisis, we will all be affected.",,
We regularly scan lists to make sure those who are unsubscribed are then removed and it requires removal and re-uploading the list.,,
"The only complaint is that hubspot doesn’t have social media planning for Instagram, so we are still having to take time everyday to post on this platform.",,
I don't have any real dislikes about Hubspot.,,
Some examples in the videos seemed outdated or used for personal gain/attention.,,
"Overall, the analytics don't 100% make sense to me all the time.",,
Limited email & landing page templates.,,
We recently discovered this when several emails weren't delivered from people who had never hard bounced from our emails.,bugs:Actionable:features,
"The software have a steep learning curve, other than that all is good.",,
"I do not like the leads section, and the difficulty level of adding information to the preview portion of the contact or company.",,
If you can have both in one platform it would be great.,,
"We have an industry-specific client CRM, which would cost a fortune to integrate a bi-directional API w/HS - the work-around is cumbersome and error prone.  ",integrations,
"Also, more options should be available for data exports, so we could at-least create reports manually.",,
"Hubspot has a few limitations on the following aspects: web analytics (it does not allow you to export data per date and time, that we could get easily through Google Analytics), social (GIF and boomerangs are not supported) and web/email design (more advanced functionalities like hoover effect on images require coding skills and are not available through the interface).",,
"After a workflow is live, if I find a mistake from myself or a colleague, having to make copies of workflows to correct it makes it kind of messy and hard to keep track.",,
I could not think of anything bad to say about our experience.,,
"If HubSpot could just improve their (free) reporting capabilities, we would switch from Salesforce.com as our CRM in a heartbeat.",,
You can't even choose the colour of font.,,
"Instead, we were forced to figure it out ourselves because no one seemed to ever have answers for us.",,
"Also, the social media deployment section of the site doesn't work as expected (often).",,
I found myself drifting off and getting distracted often during the longer 20+ minute videos.,,
It is very user friendly and intuitive.,,
"I have experienced occasional downtime and have discovered a few bugs in the platform, which support has always very promptly addressed and fixed.",,
and I didn't have time for that.,,
"It can sometimes be challenging to tag other company's in posts, and I can easily forget to add the posts to a campaign because the drop down menu is at the very bottom of the posts.",,
You are expected to commit to a tool to keep track of all the data you collect.,,
"Sometimes is hard to keep a track on specifi data such as forecasts, win rates and also customizing with formulas is someting that could add value in the reporting capabilities.",,
There isn't much that I dislike when it comes to Hubspot...have yet to find something.,,
Sometimes HubSpot needs a powerful internet connection because Even if a company has a strong connection for anyone else.,,
Everything seems to be where I need it to be.,,
"so you have to click each post to edit and add an image. 
",,
There is not much to dislike because Hubspot has thought of everything.,,
Also would love if they were able to integrate directly with Netsuite as right now we have to use a 3rd party integration tool.,,
"I can't do that?""",,
Can be overwhelming to navigate without training.,,
Email and landing page design and layouts are difficult to maneuver- not easy drag and drop like in Mail Chimp or other providers.,,
"Worked well in my b2b role, but can't see it working as well in my new b2c work.",,
"When you company is growing, it gets hard for the sales team to follow up and update everything we need to make reports with real information.",,
"In the span of time of using this tool, one dilemma that we experienced was the cutting in and out of the line whenever we take phone calls due to intermittent internet connection which significantly affected the way we communicate with our customers.",,
"They have so much to offer, I feel the classes could be broken up as shorter videos that are less repetitive from each other, and easier to get through.",,
HubSpot gets ridiculously expensive when you have a significant number of contacts.,,
email modules not as easy to work with as we'd like.,,
We're a small marketing team and use the automation features in HubSpot to our advantage but having to redo work in both accounts takes way too much of our time.,,
They charge quite a lot for contacts so,,
It's not a major issue but uploading a file for social media is slightly cumbersome.,,
The workflow/drip campaign is clunky.,,
Hubspot can be challenging in the sense that it is not quite as intuitive as you may think when attempting to build more robust campaigns.,,
It's easy to use and support is always a question away if you need help.,UX:support,
"It's not the most expensive, but it's far from the least expensive.",,
The application is loaded with features and definitely as a learning curve.,,
"Well so far I can't find anything that upsets me, if I have to say something I think it would be its high package costs",,
Lastly we find Hubspot is an extremely expensive product for how much we use it.,,
", I just wish I had more time to learn all of its features to use it fully.",,
I sometimes have trouble working within the limitations in design.,,
There are limitations when it comes to paid ads in HubSpot.,,
The thing to dislike would be the cost.,,
"Hupspot makes the process of sales more efficient and easy. 
",,
The product demos well but,,
"Comparison and overall email program success need help though.
",,
"- it seems as if the format doesn't always match, even though I use the Edit picture option as well.",,
There's not really anything I dislike about HubSpot!,,
"If you already have an in-house developer, then you won't have a problem.",,
I dislike that many of the templates are extra costs.,,
Design elements for emails and landing pages are a little hard to accomplish at times.,,
"They are not negative things, they are things that I would like to see added.",,
Such a shame as they are such a powerful engagement tool when on the side of a page.,,
"There are points where you need a professional developer. 
",,
That it requires the right agency for SFDC integration.,,
"There are some elements that i would have assumed were part of our package, but we have to pay extra for these and it has been disappointing to learn this as our budget does not stretch to cover them.",,
I also dislike that Instagram is not integrated in the social media publishing tools.,,
They need to enhance their website builder.,,
"I also think, while HubSpot has SEO tools, they are limited and could be improved.",UX:Actionable:integrations,
The only drawback is the price for the tool.,,
"Sometimes the reporting isn't the greatest, but they are making updates all the time and it sees to be improving month after month.",Actionable:UX:updates,
Managing pages that are in multiple languages can be a challenge to find all of the pages in the system if you don't have a very good naming convention.,UX:Actionable,
"Everything from sending an email newsletter to trying to set up templates was unbelievably difficult, and when we asked for help, we were told by HubSpot support that they ""didn't know.",,
Preferred to get the money for the contract even if the circumstances changed and the product was not used for 9 months,,
"HubSpot is a very good platform but it presents some important drawbacks to highlight, for the optimal operation of the application.",,
The code editor and design manager can sometimes be a little buggy or unintuitive.,UX:bugs,
"Email development isn't flexible, custom coded modules are bulked up with extra and necessary causing a lot of code bloat.",,
"Workflow and sequence do not work together, though I know these are two separate features of marketing and Sales.",,
I have yet to find a way to edit or erase specific attributes for HubSpot sales pipeline entries for multiple entries.,,
No complaints yet!,,
Some are based on the functionality you need and others are based on usage.,,
Sometimes we run into very weird bugs that takes support days to figure out.,,
This is a question of adaptation and acceptance of decisions in favor of HubSpot's productivity.,,
"I can port over templates, landing pages, and emails to other Hubspot accounts",,
"The price, wow",,
"My biggest complaint would be about the Instagram publishing feature, which is not the fault of HubSpot.",,
"Also, upon completion of our first year, the product become so expensive it was really difficult to justify keeping it.",,
"If you fail to manage the growth of your contacts, you might be trapped in a high billing tier that might be costly.",,
It was hard to tell why the system wasn't accepting my changes.,,
There are few drawbacks that can be seen in this software as you will not get the full valos of the campaign if you are producing separate content that prices are somewhat high.,,
There is an add-on you have to pay a lot more (for SMB) a month to be able to get all of the reporting tools that makes Hubspot really awesome.,,
"For some reason I always have to send a test email quite a few times and refresh the page before minor formatting issues are resolved, regardless of how much I edit the HTML!",,
"and it would automatically bring up that file with all related documents, but that is me dreaming.",,
"Other than that, I like hubspot a lot.",,
I think Hubspot should add a feature to import directly from a document to a blog.,,
"It is worth it, but I had help with this as I would not be able to complete it on my own.",,
"For instance, when I am uploading a logo it adds a code to shrink it so the image looks blurry.",,
They have an free integration with Vidyard that is just a teaser to buy a more expensive full integration.,price:integrations,
"For example, at the time of writing this, Later.com has scheduling Instagram stories.",,
"(Sales team’s promises contradicted account managers promises, both contradicted FAQs and learning center)
",,
I wish the training was a bit more in depth when it gets to the more complex parts.,,
Filters available in Lists that aren't available in Workflows is another.,,
"For example, being able to reset a contact's Hubspot score to 0 rather than using subtraction, or the Reporting tool being clunky and difficult to use.",,
"But I think, that this is an oportunity to improve.",,
"HubSpot is invaluable in tracking your lead gen efforts; however, depending on your budget, you may need to develop ways or leverage other software for useful reporting and dashboards.",,
Customer Service -,,
"I wish there were more design options for landing pages, emails, etc.",,
They did this without any notice.,,
The only things I don't like.,,
I don't like that you can only have a few templates saved between your work group.,,
Not much functionality in regards to reporting.,,
There has also been some trial and error as far as editing information in a fixed template element then losing the work that's been done later.,,
"Although, they can also opt to use their free sales & CRM tools.",,
"so far its use has been fantastic to fulfill its purpose so I do not see many negative aspects, should further improve the clarity of the calls.",,
Designing and customization of the template could still be better but much better than other competitors,,
Check the HTML: there's probably three different width calls throughout the <img> tag.,,
"They also should work faster to update their FAQs, since they often reference previous designs and changed systems.",,
"The lists and workflows can be unnecessarily complicates due to some oversights (for example, not being able to merge ""if/then"" parameters).",,
HubSpot is a big cost on a monthly basis while other platforms are much less costly.,,
Being too complicate for the Sales Team to use on to go.,,
The hands on learning experience.,,
The way they have designed this is great.,,
Not sure how I like the new design.,,
The only thing I don't like about Hubspot is the costs.,,
"- the tool brings marketing and sales together
",,
The one downside I've found is the add on products.,,
"This package allows you to have three user logins, with a maximum of 100 contacts, but you are welcome to add to your network for an additional $100 per 1,000 contacts.",,
Sometimes I don't get clear answers to the problems I am facing so,,
"If you have a more complicated set up and like to run very customized reports and workflows, you will hit road blocks due to a lack of features or features that aren't thought through all the way.",,
For example editing navigation bar wasn't in a logical place for me.,,
I don't like that it can be glitchy sometimes.,UX:bugs,
"The alternative is to find a Hubspot Agency in your area to help you integrate, set up and use the platform - the big advantage is that they will get to know your business and your growth goals, challenges and gaps to ensure you make your investment drive 20 - 30% year on year growth.",,
"So far I have been able to replicate most functionality requests in the COS HubSpot sites, ask me a few years ago",,
"The landing page editors can be a bit clunky, and restricting at times.",,
"Other times, the email tracker will never work.",,
They have monetized it very well.,,
"What I dislike the most is that I can't post a bunch of pictures for each social media site, particularly LinkedIn and Instagram where I can only post one.",features:Actionable:wishes,
"For example, social analytics are on the social page, blog analytics on the blog page, etc.",,
That sometimes the images on an email sent does not render well (it happened yesterday) and I have to go back and send it again (in the middle of a meeting),bugs:Actionable,
The only thing I dislike is that you are unable to schedule a page update on a page that has changes while the previous version is still live.,,
There are also occasional glitches when scheduling social media posts that make it,,
"The email marketing, workflow set up, campaign management (essentially all marketing features) are not as easy as they what they sell to you.",,
Lead Scoring has been improved in the last year and has a little bit of a learning curve.,,
"Gives me easy and quick access into my saved templates so sending emails with clients is faster.
",,
Reporting could be improved at enterprise level.,,
Very little i dislike.,,
There isn't much to dislike so far.,,
esta herramienta de los aspectos negativos.,,
I'd be more than willing to forego some email features in exchange for the ease of use.,,
"I think small businesses like ours could benefit from the next level, but we can't afford it.",,
"The interface took a bit of time to get used to, also, the font used on template emails is slightly different than googles font.",,
There are a few minor areas that could use improvement.,,
Many of the features.,,
"Some of the HTML email formats are not easy to manipulate for my liking, for example moving some of the blocks in the already made templates messes up the whole email and at that point it becomes difficult to do anything about it.",,
A way of shortlisting candidates for a data base (mapping them out).,,
Right now we're having issues with our automatic emails for when a blog posts.,,
"For one ti can be only used for Twitter, no other platforms, you can't choose the image for the post, etc.",,
"It is a quite costly software, one pays 200 dollars to get 100 contacts and an extra 100 dollars to have 1000 contacts.",,
The really good marketing tools are very expensive.,,
"In addition, new tools are always coming out to challenge Hubspot, which can provide additional service.",,
"I wish email and landing page templates were a little easier to design from scratch, but",,
Email templates and landing pages/,,
It tends to get too expensive once you start using it for all the features.,,
Some things seem to be unnecessarily complicated.,,
The unsubscribe pages could be a bit more versatile as well.,,
"Lack of freeze pains in goals, deals and anything else in board or table view.",,
"detail features need bigger ""audience"" to get implemented (e. g. delay for workflows), reporting can become complicated depending on where you start",,
"Unfortunately I don't have permission to make all of the amends that I want, however the support from HubSpot is excellent.",,
You enter a city URL and it comes up with the Sanitation Department.,,
"Personally, I am in an office as much as out of an office when I need to access my client’s data and having a more apt mobile app would be helpful.",,
"They seemed to have done a major revamp of their UI recently, which looks amazing.",,
"Reporting is still difficult for use to customize - our business model (freemium software) doesn't fit the traditional marketing/sales structure, so flexibility is lacking in that area.",,
Need improvements on this area.,,
The only thing about Hubspot we did not like was the on boarding process.,,
My only con if I had to choose one would be the lack of tips and tricks resources out there.,,
Additionally it produces much more information than needed making the excel difficult to use without cleaning it up first.,,
"In future releases/updates, there should be a way to create customized dashboards that can pull from any metric.",,
Another reason that I don’t like about the software is that its customer services is not so great.,,
"For example, you can easily organize forms and landing pages into folders, but workflows do not have a folder organization type feature.",,
"Even for the A/B testing tool in non-automated emails, there is no way to test time of day, so you have to run this manually as well.",,
Being new subjects,,
"Having functionality to build pages easily, like you can in LeadPages or ClickFunnels would bring Hubspot's game to a whole new level.",,
Like all CRMs there is not enough customization in terms of building what you want.,,
I wish the marketplace was a bit more robust.,,
You can't autopost videos.,,
"Landing pages made easy
",,
Occasional outages and a constantly rotating staff of support people.,,
the subscriptions are pricey and expensive,price,
It seems like sometimes I get lost in the vastness of the program.,UX,
Autosave in general has caused me a lot of trouble when doing HTML emails.,,
Design opportunities are limited when it comes to email creation.,,
